,user,text,favorite_count,retweet_count,created_at
162,elonmusk,@MinimalDuck @Tesla Cybertruck is something special that comes along once in a long while,46080,2296,2022-11-17 20:28:52+00:00
163,elonmusk,"@heydave7 Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.

Somehow, other countries do just fine without class-action law.",12773,1348,2022-11-17 17:53:14+00:00
164,elonmusk,@heydave7 The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,14735,1042,2022-11-17 17:50:20+00:00
165,elonmusk,@AutismCapital Ok,7176,203,2022-11-17 17:41:14+00:00
166,elonmusk,@chazman We’re working on something that should rank replies automatically,13162,631,2022-11-17 15:31:43+00:00
167,elonmusk,Twitter is like open-sourcing the news,405621,32037,2022-11-17 15:26:13+00:00
168,elonmusk,@dogeofficialceo Polycule 🔥🔥,16703,801,2022-11-17 15:24:04+00:00
169,elonmusk,@sama Probably,7117,294,2022-11-17 15:21:51+00:00
170,elonmusk,@Dilbert_Daily Even TikTok is super dependent on ads,24932,1313,2022-11-17 15:21:10+00:00
171,elonmusk,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",60445,3630,2022-11-17 15:15:23+00:00
172,elonmusk,@growing_daniel @jeremiahscholl I don’t wanna brag but … it’s true,6216,206,2022-11-17 15:11:47+00:00
173,elonmusk,@minliangtan Definitely,9416,353,2022-11-17 08:45:55+00:00
174,elonmusk,Not to mention the sickkk memes lol,133914,5639,2022-11-17 08:37:59+00:00
175,elonmusk,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,318316,28846,2022-11-17 08:35:22+00:00
176,elonmusk,@BillyM2k @adamscochran @accretionist Ability to do long tweets coming soon,16992,1336,2022-11-17 07:43:09+00:00
177,elonmusk,@westcoastbill https://t.co/O9quYfsUqV,5484,314,2022-11-17 07:24:53+00:00
178,elonmusk,"@AutismCapital It’s not his fault, society is to blame. Arrest society!",15642,988,2022-11-17 06:50:26+00:00
179,elonmusk,@SaladBarFan 🎯,14592,661,2022-11-17 05:04:19+00:00
180,elonmusk,@DavidSacks I believe in vice-signaling,15177,1008,2022-11-17 03:34:42+00:00
181,elonmusk,"@laurenweinstein @stocktalkweekly Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",9344,669,2022-11-17 03:32:28+00:00
182,elonmusk,@jack Magic 🎱 knows all,119927,6113,2022-11-17 03:30:38+00:00
183,elonmusk,@amitkgupta84 @Jason Literally working on that tonight,5810,252,2022-11-17 03:16:59+00:00
184,elonmusk,@paulg People have no idea how fast Twitter will evolve,27369,2351,2022-11-16 22:26:02+00:00
185,elonmusk,@WholeMarsBlog Yep,10266,502,2022-11-16 22:17:42+00:00
186,elonmusk,"@realGeorgeHotz @boing Sure, let’s talk.",10517,473,2022-11-16 20:23:08+00:00
187,elonmusk,"@jimmyfallon Wait a second, how do we know you’re not an alien body snatcher pretending to be Jimmy!? 

Say something that only the real Jimmy would say …",51835,1985,2022-11-16 18:56:33+00:00
188,elonmusk,@rising_serpent Why is that?,73399,3469,2022-11-16 17:25:25+00:00
189,elonmusk,@jimmyfallon Sounds like a job for @CommunityNotes!,10661,323,2022-11-16 17:19:54+00:00
190,elonmusk,"@bowx_ To heir is human, to forgive, divine (something like that)",8318,361,2022-11-16 13:55:43+00:00
191,elonmusk,@jimmyfallon Fix what?,173741,5945,2022-11-16 13:53:57+00:00
192,elonmusk,@Mrwhosetheboss Maybe,79016,1833,2022-11-16 13:45:50+00:00
193,elonmusk,@NASA @NASAArtemis @NASA_SLS @NASA_Orion Congratulations!!,39771,1799,2022-11-16 08:25:44+00:00
194,elonmusk,@JuliusSinghania @wongmjane X will be the everything app,8085,759,2022-11-16 07:17:56+00:00
195,elonmusk,@yukaichou I’m the taint haha,10260,425,2022-11-16 07:09:17+00:00
196,elonmusk,"@nichegamer @teslaownersSV @chicago_glenn @stillgray @dcherring Yeah, next-level 🤣🤣",2523,112,2022-11-16 07:07:09+00:00
